Type, x Startpoint, y Startpoint, x Endpoint, y Endpoint, x Center Point, y Center Point, Clockwise(-1) / Counterclockwise (1)
line,2,2,2,74
arc,2,74,16,88,16,74,1
line,16,88,44,88
arc,44,88,58,74,44,74,1
line,58,74,58,26.5
arc,58,26.5,65.5,19,65.5,26.5,-1
line,65.5,19,84.85,19
arc,84.85,19,88,22.15,84.85,22.15,-1
